word,price,pv,show,showRate,click,cost,CPC,rank,recBid
导航,0.3,27598,23036,0.38,3801.06,581.36,0.15,2,0.3
导航,0.4,27598,29406,0.49,4890.13,977.73,0.2,2,0.3
导航,0.5,27598,34556,0.58,5812.93,1413.51,0.24,1,0.3
导航,0.6,27598,38464,0.65,6538.3,1837.25,0.28,1,0.3
导航,0.7,27598,41420,0.7,7118.74,2226.05,0.31,1,0.0
导航,0.7999999999999999,27598,43772,0.74,7595.86,2590.85,0.34,1,0.3
导航,0.8999999999999999,27598,45713,0.76,8009.52,2942.73,0.37,1,0.3
导航,0.9999999999999999,27598,47331,0.79,8357.39,3278.71,0.39,1,0.3
导航,1.0999999999999999,27598,48739,0.82,8671.86,3617.02,0.42,1,0.3
导航,1.2,27598,49870,0.84,8927.34,3932.71,0.44,1,0.3
导航,1.3,27598,50867,0.85,9164.74,4235.73,0.46,1,0.3
导航,1.4000000000000001,27598,51746,0.87,9374.58,4531.0,0.48,1,0.3
导航,1.5000000000000002,27598,52490,0.88,9556.66,4804.0,0.5,1,0.3
导航,1.6000000000000003,27598,53143,0.89,9717.32,5064.46,0.52,1,0.3
导航,1.7000000000000004,27598,53719,0.9,9855.95,5313.66,0.54,1,0.3
导航,1.8000000000000005,27598,54239,0.91,9989.58,5551.73,0.56,1,0.3
导航,1.9000000000000006,27598,54708,0.92,10104.32,5788.23,0.57,1,0.0
导航,2.0000000000000004,27598,55146,0.93,10218.54,6045.77,0.59,1,0.0
导航,2.1000000000000005,27598,55550,0.93,10326.1,6298.96,0.61,1,0.0
导航,2.2000000000000006,27598,55937,0.94,10426.52,6556.58,0.63,1,0.0
导航,2.3000000000000007,27598,56278,0.94,10516.69,6794.51,0.65,1,0.3
导航,2.400000000000001,27598,56581,0.95,10596.35,7022.94,0.66,1,0.3
导航,2.500000000000001,27598,56841,0.95,10668.58,7246.89,0.68,1,0.3
导航,2.600000000000001,27598,57081,0.96,10732.35,7474.01,0.7,1,0.3
导航,2.700000000000001,27598,57296,0.96,10791.16,7687.4,0.71,1,0.3
导航,2.800000000000001,27598,57464,0.97,10838.45,7867.26,0.73,1,0.3
导航,2.9000000000000012,27598,57612,0.97,10878.81,8056.87,0.74,1,0.0
导航,3.0000000000000013,27598,57735,0.97,10914.24,8237.25,0.75,1,0.0
导航,3.1000000000000014,27598,57852,0.97,10944.82,8384.52,0.77,1,0.3
导航,3.2000000000000015,27598,57957,0.97,10970.52,8514.49,0.78,1,0.3
导航,3.3000000000000016,27598,58041,0.98,10990.16,8637.25,0.79,1,0.0
导航,3.4000000000000017,27598,58114,0.98,11008.44,8745.06,0.79,1,0.3
导航,3.5000000000000018,27598,58183,0.98,11023.33,8836.79,0.8,1,0.3
导航,3.600000000000002,27598,58236,0.98,11033.98,8909.93,0.81,1,0.3
导航,3.700000000000002,27598,58289,0.98,11043.96,8977.35,0.81,1,0.3
导航,3.800000000000002,27598,51512,0.98,9700.59,7861.12,0.81,1,0.3
导航,3.900000000000002,27598,58381,0.98,11063.49,9108.62,0.82,1,0.3
导航,4.000000000000002,27598,58417,0.98,11070.0,9153.27,0.83,1,0.0
导航,4.100000000000001,27598,58453,0.98,11076.88,9203.92,0.83,1,0.3
导航,4.200000000000001,27598,58487,0.98,11083.15,9238.8,0.83,1,0.0
导航,4.300000000000001,27598,58515,0.98,11088.52,9270.07,0.84,1,0.3
导航,4.4,27598,58544,0.98,11093.75,9315.01,0.84,1,0.3
导航,4.5,27598,58573,0.98,11099.08,9354.5,0.84,1,0.0
导航,4.6,27598,58597,0.98,11103.29,9379.8,0.84,1,0.3
导航,4.699999999999999,27598,58623,0.99,11107.85,9407.02,0.85,1,0.0
导航,4.799999999999999,27598,58650,0.99,11113.11,9441.12,0.85,1,0.3
导航,4.899999999999999,27598,58671,0.99,11117.51,9467.27,0.85,1,0.3
导航,4.999999999999998,27598,58692,0.99,11121.49,9492.32,0.85,1,0.3
导航,5.099999999999998,27598,58713,0.99,11125.55,9522.61,0.86,1,0.3
导航,5.1999999999999975,27598,58733,0.99,11129.6,9552.21,0.86,1,0.3
导航,5.299999999999997,27598,58751,0.99,11133.5,9578.39,0.86,1,0.3
导航,5.399999999999997,27598,58770,0.99,11137.65,9606.07,0.86,1,0.3
导航,5.4999999999999964,27598,58796,0.99,11143.24,9644.25,0.87,1,0.0
导航,5.599999999999996,27598,58816,0.99,11148.25,9681.65,0.87,1,0.0
导航,5.699999999999996,27598,58837,0.99,11153.15,9717.31,0.87,1,0.3
导航,5.799999999999995,27598,58856,0.99,11157.83,9750.75,0.87,1,0.0
导航,5.899999999999995,27598,58877,0.99,11162.64,9785.99,0.88,1,0.0
导航,5.999999999999995,27598,58893,0.99,11166.68,9814.14,0.88,1,0.3
导航,6.099999999999994,27598,58913,0.99,11171.62,9854.27,0.88,1,0.3
导航,6.199999999999994,27598,58935,0.99,11177.83,9899.28,0.89,1,0.3
导航,6.299999999999994,27598,58956,0.99,11182.83,9942.53,0.89,1,0.0
导航,6.399999999999993,27598,58976,0.99,11188.21,9982.76,0.89,1,0.3
导航,6.499999999999993,27598,58995,0.99,11193.08,10022.54,0.9,1,0.3
导航,6.5999999999999925,27598,59018,0.99,11198.62,10069.13,0.9,1,0.3
导航,6.699999999999992,27598,59035,0.99,11202.86,10101.98,0.9,1,0.3
导航,6.799999999999992,27598,59058,0.99,11209.23,10152.32,0.91,1,0.3
导航,6.8999999999999915,27598,59074,0.99,11213.24,10184.35,0.91,1,0.0
导航,6.999999999999991,27598,59089,0.99,11217.23,10214.92,0.91,1,0.3
导航,7.099999999999991,27598,59105,0.99,11221.83,10258.89,0.91,1,0.0
导航,7.19999999999999,27598,59121,0.99,11225.65,10291.37,0.92,1,0.3
导航,7.29999999999999,27598,44389,0.99,8520.55,8028.41,0.94,1,0.3
导航,7.39999999999999,27598,59151,0.99,11233.38,10361.94,0.92,1,0.3
导航,7.499999999999989,27598,59167,0.99,11237.14,10396.92,0.93,1,0.0
导航,7.599999999999989,27598,59178,0.99,11239.84,10420.49,0.93,1,0.3
导航,7.699999999999989,27598,59192,0.99,11243.5,10454.63,0.93,1,0.0
导航,7.799999999999988,27598,59207,1.0,11247.02,10487.94,0.93,1,0.0
导航,7.899999999999988,27598,59221,1.0,11250.3,10520.21,0.94,1,0.3
导航,7.999999999999988,27598,59236,1.0,11253.76,10553.09,0.94,1,0.3
导航,8.099999999999987,27598,59249,1.0,11257.24,10586.32,0.94,1,0.3
导航,8.199999999999987,27598,59259,1.0,11259.94,10610.77,0.94,1,0.3
导航,8.299999999999986,27598,59270,1.0,11262.73,10633.56,0.94,1,0.3
导航,8.399999999999986,27598,59282,1.0,11265.98,10665.39,0.95,1,0.0
导航,8.499999999999986,27598,59294,1.0,11269.27,10695.74,0.95,1,0.3
导航,8.599999999999985,27598,59303,1.0,11271.49,10719.43,0.95,1,0.3
导航,8.699999999999985,27598,59314,1.0,11274.28,10748.03,0.95,1,0.3
导航,8.799999999999985,27598,59326,1.0,11277.52,10776.77,0.96,1,0.3
导航,8.899999999999984,27598,59339,1.0,11281.13,10816.88,0.96,1,0.3
导航,8.999999999999984,27598,59351,1.0,11284.39,10851.49,0.96,1,0.0
导航,9.099999999999984,27598,59360,1.0,11287.26,10879.12,0.96,1,0.3
导航,9.199999999999983,27598,59369,1.0,11289.38,10900.65,0.97,1,0.3
导航,9.299999999999983,27598,59382,1.0,11292.38,10931.59,0.97,1,0.3
导航,9.399999999999983,27598,59387,1.0,11293.98,10950.34,0.97,1,0.3
导航,9.499999999999982,27598,59397,1.0,11296.41,10977.47,0.97,1,0.3
导航,9.599999999999982,27598,59406,1.0,11298.84,11005.96,0.97,1,0.3
导航,9.699999999999982,27598,59413,1.0,11300.38,11023.65,0.98,1,0.3
导航,9.799999999999981,27598,59421,1.0,11302.38,11045.12,0.98,1,0.0
导航,9.89999999999998,27598,59427,1.0,11304.36,11068.61,0.98,1,0.0
导航,9.99999999999998,27598,59434,1.0,11306.12,11088.54,0.98,1,0.0
导航地图,0.3,47117,32740,0.4,5265.14,841.62,0.16,1,0.33
导航地图,0.4,47117,39575,0.49,6364.48,1233.08,0.19,1,0.0
导航地图,0.5,47117,44250,0.55,7160.63,1597.65,0.22,1,0.33
导航地图,0.6,47117,47505,0.59,7743.9,1924.5,0.25,1,0.33
导航地图,0.7,47117,50011,0.62,8213.9,2236.99,0.27,1,0.33
导航地图,0.7999999999999999,47117,52092,0.65,8617.54,2544.31,0.3,1,0.33
导航地图,0.8999999999999999,47117,53810,0.67,8961.14,2836.22,0.32,1,0.33
导航地图,0.9999999999999999,47117,55332,0.69,9263.59,3134.84,0.34,1,0.33
导航地图,1.0999999999999999,47117,50812,0.71,8552.06,3084.3,0.36,1,0.33
导航地图,1.2,47117,57950,0.72,9771.29,3746.3,0.38,1,0.33
导航地图,1.3,47117,59141,0.74,10006.38,4070.53,0.41,1,0.33
导航地图,1.4000000000000001,47117,60286,0.75,10234.6,4409.76,0.43,1,0.0
导航地图,1.5000000000000002,47117,61374,0.75,10453.7,4762.28,0.46,1,0.33
导航地图,1.6000000000000003,47117,62401,0.77,10661.15,5128.76,0.48,1,0.33
导航地图,1.7000000000000004,47117,63362,0.78,10853.11,5489.07,0.51,1,0.33
导航地图,1.8000000000000005,47117,64266,0.79,11038.95,5868.02,0.53,1,0.33
导航地图,1.9000000000000006,47117,65138,0.8,11218.97,6246.77,0.56,1,0.33
导航地图,2.0000000000000004,47117,65933,0.81,11382.51,6618.28,0.58,1,0.33
导航地图,2.1000000000000005,47117,66657,0.82,11529.78,6975.65,0.61,1,0.33
导航地图,2.2000000000000006,47117,67347,0.83,11673.02,7336.98,0.63,1,0.33
导航地图,2.3000000000000007,47117,67957,0.84,11798.76,7666.52,0.65,1,0.33
导航地图,2.400000000000001,47117,68522,0.85,11916.49,7996.38,0.67,1,0.33
导航地图,2.500000000000001,47117,69055,0.85,12026.17,8317.92,0.69,1,0.33
导航地图,2.600000000000001,47117,69531,0.86,12126.06,8627.24,0.71,1,0.33
导航地图,2.700000000000001,47117,69985,0.86,12220.12,8938.42,0.73,1,0.33
导航地图,2.800000000000001,47117,70400,0.87,12306.54,9221.95,0.75,1,0.33
导航地图,2.9000000000000012,47117,70779,0.87,12385.22,9485.89,0.77,1,0.33
导航地图,3.0000000000000013,47117,71123,0.88,12455.95,9736.48,0.78,1,0.0
导航地图,3.1000000000000014,47117,71418,0.88,12516.51,9961.39,0.8,1,0.0
导航地图,3.2000000000000015,47117,71714,0.89,12575.54,10189.88,0.81,1,0.33
导航地图,3.3000000000000016,47117,71987,0.89,12630.24,10404.95,0.82,1,0.33
导航地图,3.4000000000000017,47117,72257,0.89,12685.21,10624.76,0.84,1,0.0
导航地图,3.5000000000000018,47117,72510,0.9,12735.88,10839.51,0.85,1,0.0
导航地图,3.600000000000002,47117,72760,0.9,12786.98,11066.82,0.87,1,0.33
导航地图,3.700000000000002,47117,73006,0.9,12835.38,11287.12,0.88,1,0.33
导航地图,3.800000000000002,47117,73230,0.9,12880.43,11494.7,0.89,1,0.33
导航地图,3.900000000000002,47117,73464,0.91,12928.01,11724.8,0.91,1,0.0
导航地图,4.000000000000002,47117,73692,0.91,12973.51,11943.33,0.92,1,0.33
导航地图,4.100000000000001,47117,73893,0.91,13013.38,12139.8,0.93,1,0.33
导航地图,4.200000000000001,47117,74111,0.92,13057.22,12361.09,0.95,1,0.33
导航地图,4.300000000000001,47117,74314,0.92,13097.86,12571.13,0.96,1,0.33
导航地图,4.4,47117,74505,0.92,13136.88,12787.17,0.97,1,0.33
导航地图,4.5,47117,74693,0.92,13175.6,13002.26,0.99,1,0.33
导航地图,4.6,47117,74874,0.93,13211.66,13212.26,1.0,1,0.33
导航地图,4.699999999999999,47117,75052,0.93,13248.32,13419.88,1.01,1,0.33
导航地图,4.799999999999999,47117,75227,0.93,13283.48,13636.04,1.03,1,0.33
导航地图,4.899999999999999,47117,75386,0.93,13316.62,13836.12,1.04,1,0.33
导航地图,4.999999999999998,47117,75554,0.93,13350.39,14035.94,1.05,1,0.33
导航地图,5.099999999999998,47117,75711,0.94,13381.61,14235.57,1.06,1,0.33
导航地图,5.1999999999999975,47117,75873,0.94,13412.86,14438.87,1.08,1,0.33
导航地图,5.299999999999997,47117,76026,0.94,13443.34,14643.55,1.09,1,0.0
导航地图,5.399999999999997,47117,76187,0.94,13475.17,14854.52,1.1,1,0.33
导航地图,5.4999999999999964,47117,76321,0.94,13502.18,15035.12,1.11,1,0.33
导航地图,5.599999999999996,47117,76465,0.95,13531.02,15244.16,1.13,1,0.33
导航地图,5.699999999999996,47117,76611,0.95,13560.79,15458.96,1.14,1,0.33
导航地图,5.799999999999995,47117,76758,0.95,13588.78,15672.48,1.15,1,0.33
导航地图,5.899999999999995,47117,76901,0.95,13616.68,15885.83,1.17,1,0.33
导航地图,5.999999999999995,47117,77044,0.95,13645.22,16099.01,1.18,1,0.33
导航地图,6.099999999999994,47117,68314,0.95,12071.7,14367.7,1.19,1,0.33
导航地图,6.199999999999994,47117,77306,0.96,13696.83,16509.99,1.21,1,0.33
导航地图,6.299999999999994,47117,77437,0.96,13721.97,16711.01,1.22,1,0.33
导航地图,6.399999999999993,47117,77566,0.96,13746.68,16921.35,1.23,1,0.33
导航地图,6.499999999999993,47117,77689,0.96,13770.57,17122.12,1.24,1,0.33
导航地图,6.5999999999999925,47117,77804,0.96,13792.11,17300.63,1.25,1,0.33
导航地图,6.699999999999992,47117,77910,0.96,13811.85,17469.47,1.26,1,0.33
导航地图,6.799999999999992,47117,78006,0.96,13830.9,17643.92,1.28,1,0.33
导航地图,6.8999999999999915,47117,78119,0.97,13852.03,17831.05,1.29,1,0.33
导航地图,6.999999999999991,47117,78216,0.97,13871.03,17995.21,1.3,1,0.0
导航地图,7.099999999999991,47117,78313,0.97,13889.65,18174.11,1.31,1,0.33
导航地图,7.19999999999999,47117,78404,0.97,13906.66,18335.98,1.32,1,0.33
导航地图,7.29999999999999,47117,78497,0.97,13924.82,18518.14,1.33,1,0.33
导航地图,7.39999999999999,47117,78586,0.97,13942.11,18686.54,1.34,1,0.0
导航地图,7.499999999999989,47117,78667,0.97,13956.89,18825.66,1.35,1,0.33
导航地图,7.599999999999989,47117,78747,0.97,13970.57,18969.02,1.36,1,0.33
导航地图,7.699999999999989,47117,78830,0.98,13986.04,19133.28,1.37,1,0.33
导航地图,7.799999999999988,47117,78909,0.98,14000.12,19276.36,1.38,1,0.33
导航地图,7.899999999999988,47117,78978,0.98,14012.96,19416.16,1.39,1,0.0
导航地图,7.999999999999988,47117,79053,0.98,14026.23,19542.22,1.39,1,0.0
导航地图,8.099999999999987,47117,79119,0.98,14038.0,19659.88,1.4,1,0.0
导航地图,8.199999999999987,47117,61200,0.98,10881.31,15210.96,1.4,1,0.33
导航地图,8.299999999999986,47117,79251,0.98,14060.77,19900.16,1.42,1,0.0
导航地图,8.399999999999986,47117,79318,0.98,14072.78,20029.89,1.42,1,0.33
导航地图,8.499999999999986,47117,79382,0.98,14084.39,20158.22,1.43,1,0.33
导航地图,8.599999999999985,47117,79446,0.98,14094.96,20280.64,1.44,1,0.33
导航地图,8.699999999999985,47117,79508,0.98,14106.14,20413.34,1.45,1,0.33
导航地图,8.799999999999985,47117,79566,0.98,14116.09,20532.84,1.45,1,0.33
导航地图,8.899999999999984,47117,79626,0.99,14126.21,20644.27,1.46,1,0.0
导航地图,8.999999999999984,47117,79685,0.99,14136.88,20758.76,1.47,1,0.0
导航地图,9.099999999999984,47117,79737,0.99,14145.92,20863.95,1.47,1,0.33
导航地图,9.199999999999983,47117,79787,0.99,14154.53,20956.64,1.48,1,0.33
导航地图,9.299999999999983,47117,79833,0.99,14162.77,21063.32,1.49,1,0.33
导航地图,9.399999999999983,47117,79883,0.99,14171.29,21154.09,1.49,1,0.33
导航地图,9.499999999999982,47117,79929,0.99,14178.67,21235.86,1.5,1,0.0
导航地图,9.599999999999982,47117,79972,0.99,14185.78,21314.86,1.5,1,0.33
导航地图,9.699999999999982,47117,80021,0.99,14194.23,21423.82,1.51,1,0.0
导航地图,9.799999999999981,47117,80063,0.99,14200.98,21511.74,1.51,1,0.33
导航地图,9.89999999999998,47117,80103,0.99,14207.17,21583.59,1.52,1,0.0
导航地图,9.99999999999998,47117,80144,0.99,14213.6,21664.52,1.52,1,0.33
导航系统下载,0.3,6,0,0.0,0.0,0.0,0.0,0,0.3
导航系统下载,0.4,6,0,0.0,0.0,0.0,0.0,0,0.3
导航系统下载,0.5,6,0,0.0,0.0,0.0,0.0,0,0.0
导航系统下载,0.6,6,1,1.0,0.09,0.02,0.23,2,0.0
导航系统下载,0.7,6,1,1.0,0.09,0.02,0.23,2,0.3
导航系统下载,0.7999999999999999,6,1,1.0,0.09,0.02,0.23,2,0.3
导航系统下载,0.8999999999999999,6,1,1.0,0.11,0.04,0.36,2,0.3
导航系统下载,0.9999999999999999,6,1,1.0,0.17,0.08,0.47,1,0.0
导航系统下载,1.0999999999999999,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,1.2,6,1,1.0,0.17,0.08,0.47,1,0.0
导航系统下载,1.3,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,1.4000000000000001,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,1.5000000000000002,6,1,1.0,0.17,0.08,0.47,1,0.0
导航系统下载,1.6000000000000003,6,0,0.0,0.0,0.0,0.0,0,0.0
导航系统下载,1.7000000000000004,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,1.8000000000000005,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,1.9000000000000006,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,2.0000000000000004,6,1,1.0,0.17,0.08,0.47,1,0.0
导航系统下载,2.1000000000000005,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,2.2000000000000006,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,2.3000000000000007,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,2.400000000000001,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,2.500000000000001,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,2.600000000000001,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,2.700000000000001,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,2.800000000000001,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,2.9000000000000012,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,3.0000000000000013,6,1,1.0,0.17,0.08,0.47,1,0.0
导航系统下载,3.1000000000000014,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,3.2000000000000015,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,3.3000000000000016,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,3.4000000000000017,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,3.5000000000000018,6,1,1.0,0.17,0.08,0.47,1,0.3
导航系统下载,3.600000000000002,6,1,1.0,0.17,0.08,0.47,1,0.0
导航系统下载,3.700000000000002,6,1,1.0,0.17,0.08,0.47,1,0.3
